 ID,Name,Duration,Start,Finish,Predecessors,Resources,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,
37,Dashboard,4days,02/23/2024,02/28/2024,,FE-2,,,,,,
38,List ,4days,02/29/2024,03/05/2024,37,FE-2,,,,,,
39,Profile Management,6days,03/06/2024,03/13/2024,38,FE-2,,,,,,
40,"Update slots , Pricing",5days,03/14/2024,03/20/2024,39,FE-2,,,,,,
41,Cart,7days,03/21/2024,03/29/2024,40,FE-2,,,,,,
42,Review and comment,4days,04/01/2024,04/04/2024,41,FE-2,,,,,,
43,"Upload Image , Video and details",7days,04/05/2024,04/15/2024,42,FE-2,,,,,,
44,Request Handling:,17days,04/16/2024,05/08/2024,,,,,,,,
45,Booking Management,7days,04/16/2024,04/24/2024,43,,,,,,,
46,Payment,10days,04/25/2024,05/08/2024,45,,,,,,,
47,Practice Pad,107days,02/23/2024,07/22/2024,,"FE-1,BE-1",,,,,,
48,REST API,68days,02/23/2024,05/28/2024,,BE-1,,,,,,
49,Dashboard,8days,02/23/2024,03/05/2024,,,,,,,,
50,Read List,5days,03/06/2024,03/12/2024,49,,,,,,,
51,Update Profile,8days,03/13/2024,03/22/2024,50,,,,,,,
52,"Update Slots,Pricing",7days,03/25/2024,04/02/2024,51,,,,,,,
53,Review and Comment,3days,04/03/2024,04/05/2024,52,,,,,,,
54,"Upload Image , Video and Details",5days,04/08/2024,04/12/2024,53,,,,,,,
55,Booking Request Management,5days,04/15/2024,04/19/2024,54,,,,,,,
56,Search Filter,10days,04/22/2024,05/03/2024,55,,,,,,,
57,Cart,7days,05/06/2024,05/14/2024,56,,,,,,,
58,Payment Platform,10days,05/15/2024,05/28/2024,57,,,,,,,
59,Frontend,54days,05/08/2024,07/22/2024,,FE-1,,,,,,
60,Dashboard,5days,05/08/2024,05/14/2024,,FE-1,,,,,,
61,List,5days,05/15/2024,05/21/2024,60,FE-1,,,,,,
62,Profile management,7days,05/22/2024,05/30/2024,61,FE-1,,,,,,
63,"Update Slots,Pricing",7days,05/31/2024,06/10/2024,62,FE-1,,,,,,
64,Cart,5days,06/11/2024,06/17/2024,63,FE-1,,,,,,
65,Review and Comment,3days,06/18/2024,06/20/2024,64,FE-1,,,,,,
66,"Upload Image,video and details",5days,06/21/2024,06/27/2024,65,FE-1,,,,,,
67,Request Handling:,17days,06/28/2024,07/22/2024,,FE-1,,,,,,
68,Booking Management,7days,06/28/2024,07/08/2024,66,FE-1,,,,,,
69,Payment,10days,07/09/2024,07/22/2024,68,FE-1,,,,,,
70,Music Shop,76days,03/26/2024,07/09/2024,,"BE-2,FE-2",,,,,,
71, REST API,49days,03/26/2024,05/31/2024,,BE-2,,,,,,
72,Read List,3days,03/26/2024,03/28/2024,,BE-2,,,,,,
73,Search Filter,10days,03/29/2024,04/11/2024,72,BE-2,,,,,,
74,CRUD on Equipment,8days,04/12/2024,04/23/2024,73,BE-2,,,,,,
75,Dashboard,8days,04/24/2024,05/03/2024,74,BE-2,,,,,,
76,Order management,10days,05/06/2024,05/17/2024,75,BE-2,,,,,,
77,Payment,10days,05/20/2024,05/31/2024,76,BE-2,,,,,,
78,Frontend,45days,05/08/2024,07/09/2024,,FE-2,,,,,,
79,List of Shops,10days,05/08/2024,05/21/2024,,FE-2,,,,,,
80,CRUD options for Equipments,7days,05/22/2024,05/30/2024,79,FE-2,,,,,,
81,Dashboard,8days,05/31/2024,06/11/2024,80,FE-2,,,,,,
82,Order management,10days,06/12/2024,06/25/2024,81,FE-2,,,,,,
83,Payment,10days,06/26/2024,07/09/2024,82,FE-2,,,,,,
84,Event Management,93days,05/28/2024,10/03/2024,,"BE-1,FE-1",,,,,,
85,REST API,58days,05/28/2024,08/15/2024,,BE-1,,,,,,
86,Search Filter,10days,05/28/2024,06/10/2024,,BE-1,,,,,,
87,Dashboard,8days,06/11/2024,06/20/2024,86,BE-1,,,,,,
88,Launch Event,10days,06/21/2024,07/04/2024,,BE-1,,,,,,
89,Ticket and Pricing Setup,10days,06/21/2024,07/04/2024,87,BE-1,,,,,,
90,Cart,10days,07/05/2024,07/18/2024,89,BE-1,,,,,,
91,Event List,10days,07/19/2024,08/01/2024,90,BE-1,,,,,,
92,Ticket and Setup,10days,08/02/2024,08/15/2024,91,BE-1,,,,,,
93,Frontend,54days,07/22/2024,10/03/2024,,FE-1,,,,,,
94,Event List,12days,07/22/2024,08/06/2024,,,,,,,,
95,Dashboard,12days,08/07/2024,08/22/2024,94,,,,,,,
96,Cart,15days,08/23/2024,09/12/2024,95,,,,,,,
97,Launch Event,15days,09/13/2024,10/03/2024,,,,,,,,
98,Ticket and Setup,15days,09/13/2024,10/03/2024,96,,,,,,,
99,Musician/Band,193days,06/03/2024,02/26/2025,,"BE-2,FE-2",,,,,,
100,REST API,139days,06/03/2024,12/12/2024,,BE-2,,,,,,
101,Search Filter,10days,06/03/2024,06/14/2024,,BE-1,,,,,,
102,Dashboard,7days,06/17/2024,06/25/2024,101,BE-1,,,,,,
103,Profile Management,7days,06/26/2024,07/04/2024,102,BE-1,,,,,,
104,Read List of Musician,10days,07/05/2024,07/18/2024,103,BE-1,,,,,,
105,Upload,10days,07/19/2024,08/01/2024,104,BE-1,,,,,,
106,List Equipment for Sell or Rent,7days,08/02/2024,08/12/2024,105,BE-1,,,,,,
107,Tracklist,10days,08/13/2024,08/26/2024,106,BE-1,,,,,,
108,Cart,15days,08/27/2024,09/16/2024,107,BE-1,,,,,,
109,Booking Management,12days,09/17/2024,10/02/2024,108,BE-1,,,,,,
110,Schedule update,7days,10/03/2024,10/11/2024,109,BE-1,,,,,,
111,Pricing and Package,7days,10/14/2024,10/22/2024,110,BE-1,,,,,,
112,Payment Platform,15days,10/23/2024,11/12/2024,111,BE-1,,,,,,
113,Review and comment,7days,11/13/2024,11/21/2024,112,BE-1,,,,,,
114,Rent Request Management,15days,11/22/2024,12/12/2024,113,BE-1,,,,,,
115,Frontend,167days,07/09/2024,02/26/2025,,FE-2,,,,,,
116,Dashboard,12days,07/09/2024,07/24/2024,,FE-2,,,,,,
117,Profile Management,12days,07/25/2024,08/09/2024,116,FE-2,,,,,,
118,See List of musician,12days,08/12/2024,08/27/2024,117,FE-2,,,,,,
119,"Upload (image,video,audio)",15days,08/28/2024,09/17/2024,118,FE-2,,,,,,
120,List Equipment for Sell or Rent,10days,09/18/2024,10/01/2024,119,FE-2,,,,,,
121,Cart,12days,10/02/2024,10/17/2024,120,FE-2,,,,,,
122,Review and Comment,7days,10/18/2024,10/28/2024,121,FE-2,,,,,,
123,Rented and Sold Equipment Track,18days,10/29/2024,11/21/2024,122,FE-2,,,,,,
124,Request Handling,69days,11/22/2024,02/26/2025,,FE-2,,,,,,
125,Booking Management,10days,11/22/2024,12/05/2024,123,FE-2,,,,,,
126,Lesson,15days,12/06/2024,12/26/2024,125,FE-2,,,,,,
127,Schedule update,10days,12/27/2024,01/09/2025,126,FE-2,,,,,,
128,Pricing,7days,01/10/2025,01/20/2025,127,FE-2,,,,,,
129,Payment,12days,01/21/2025,02/05/2025,128,FE-2,,,,,,
130,Rent request management,15days,02/06/2025,02/26/2025,129,FE-2,,,,,,
131,General User/Customer,90days,08/16/2024,12/19/2024,,"FE-1,BE-1",,,,,,
132,REST API,42days,08/16/2024,10/14/2024,,BE-1,,,,,,
133,Dashboard,10days,08/16/2024,08/29/2024,,BE-1,,,,,,
134,Profile Management,10days,08/30/2024,09/12/2024,133,BE-1,,,,,,
135,Cart,15days,09/13/2024,10/03/2024,134,BE-1,,,,,,
136,Review and Comment,7days,10/04/2024,10/14/2024,135,BE-1,,,,,,
137,Frontend,55days,10/04/2024,12/19/2024,,FE-1,,,,,,
138,Dashboard,15days,10/04/2024,10/24/2024,,FE-1,,,,,,
139,Profile Management,15days,10/25/2024,11/14/2024,138,FE-1,,,,,,
140,Cart,15days,11/15/2024,12/05/2024,139,FE-1,,,,,,
141,Review and comment,10days,12/06/2024,12/19/2024,140,FE-1,,,,,,
142,Technician,165days,12/13/2024,07/31/2025,,"BE-2,FE-2",,,,,,
143,REST API,85days,12/13/2024,04/10/2025,,BE-2,,,,,,
144,Dashboard,10days,12/13/2024,12/26/2024,,BE-2,,,,,,
145,Payment History read,15days,12/27/2024,01/16/2025,144,BE-2,,,,,,
146,Service History Read,15days,01/17/2025,02/06/2025,145,BE-2,,,,,,
147,Service Request,15days,02/07/2025,02/27/2025,146,BE-2,,,,,,
148,Profile Management,15days,02/28/2025,03/20/2025,147,BE-2,,,,,,
149,Progress Track Update,15days,03/21/2025,04/10/2025,148,BE-2,,,,,,
150,Frontend,80days,04/11/2025,07/31/2025,,FE-2,,,,,,
151,Dashboard,10days,04/11/2025,04/24/2025,149,FE-2,,,,,,
152,Payment History,10days,04/25/2025,05/08/2025,151,FE-2,,,,,,
153,Service History,15days,05/09/2025,05/29/2025,152,FE-2,,,,,,
154,Service Request,15days,05/30/2025,06/19/2025,153,FE-2,,,,,,
155,Profile Management,15days,06/20/2025,07/10/2025,154,FE-2,,,,,,
156,Track History,15days,07/11/2025,07/31/2025,155,FE-2,,,,,,
157,In-Built Messenger,88days,10/15/2024,02/13/2025,,"BE-1,FE-1,FE-2,BE-2",,,,,,
158,Backend,35days,10/15/2024,12/02/2024,,BE-1,,,,,,
159,Frontend,40days,12/20/2024,02/13/2025,158,FE-1,,,,,,
160,Testing/QA,240days,02/14/2025,01/15/2026,157,,,,,,,
161,User Account and Profiles and Studio,60days,02/14/2025,05/08/2025,,QA-1,,,,,,
162,Practice Pad       ,30days,05/09/2025,06/19/2025,161,QA-1,,,,,,
163, Music Shop,20days,06/20/2025,07/17/2025,162,QA-1,,,,,,
164,Event Management,20days,07/18/2025,08/14/2025,163,QA-1,,,,,,
165,Musician/Band,30days,08/15/2025,09/25/2025,164,QA-1,,,,,,
166,General User/Customer       ,15days,09/26/2025,10/16/2025,165,QA-1,,,,,,
167, Technician,15days,10/17/2025,11/06/2025,166,QA-1,,,,,,
168, In-Built Messenger,20days,11/07/2025,12/04/2025,167,QA-1,,,,,,
169,Bug Fixing,30days,12/05/2025,01/15/2026,168,,,,,,,
170,              Bug Fix by BE-1 and BE-2,30days,12/05/2025,01/15/2026,,"BE-1,BE-2",,,,,,
171,              Bug Fix by FE-1 and FE-2,30days,12/05/2025,01/15/2026,,"FE-1,FE-2",,,,,,
172,  Deployment,7days,01/16/2026,01/26/2026,171,DevOps-1,,,,,,
